x,y,ball_type,score
370.66666666666663,328.07122059999995,white,110.0
376.0,282.73788726666663,white,30.0
482.0,260.07122059999995,white,10.0
369.3333333333333,328.0,white,110.0
376.0,282.87890405466663,white,30.0
480.66666666666663,260.0,white,10.0
368.67999999999995,328.0712206,white,110.0
376.0,283.0883211069066,white,30.0
480.0133333333333,260.0712206,white,10.0
368.0397333333333,328.212237388,white,110.0
376.0,283.36477041810184,white,30.0
483.9866666666667,258.66666666666663,white,10.0
364.0,377.4045539333333,red,100.0
367.4122719999999,328.42165444024,white,110.0
376.0,283.7069113430731,white,30.0
485.93359999999996,258.08455393333327,white,10.0
364.0,377.54557072133326,red,100.0
366.79735989333324,328.6981037514352,white,110.0
376.0,284.113430049545,white,30.0
487.84159466666665,257.58530405466655,white,10.0
364.0,377.75498777357325,red,100.0
366.19474602879995,329.04024467640653,white,110.0
376.0,284.5830389818874,white,30.0
489.71142943999996,257.16725977357316,white,10.0
364.0,378.0314370847684,red,100.0
365.60418444155727,329.44676338287843,white,110.0
376.0,285.114476335583,white,30.0
491.54386751786666,256.8287969781017,white,0.0
364.0,378.37357800973973,red,100.0
365.0254340860595,329.9163723152209,white,110.0
376.0,285.7065055422047,white,30.0
493.33965683417597,256.5683240385397,white,0.0
364.0,378.7800967162116,red,100.0
364.4582587376716,330.4478096689165,white,110.0
376.0,286.35791476469393,white,30.0
495.09953036415914,256.38428115776884,white,0.0
365.3333333333333,375.95779055045506,red,100.0
363.9024268962515,331.0398388755382,white,110.0
376.0,287.0675164027334,white,30.0
496.82420642354265,256.27513973461345,white,0.0
365.9866666666667,374.6809792232344,red,100.0
363.3577116916598,331.6912480980274,white,110.0
377.3333333333333,278.3370375305999,white,30.0
498.51438896173846,256.23940173992116,white,0.0
366.62693333333334,373.5009247225581,red,100.0
362.82389079116,332.4008497360669,white,110.0
377.9866666666667,274.16522157725444,white,30.0
465.4856110382615,265.16515219341215,white,0.0
367.2543946666667,372.41569191189535,red,100.0
362.3007463086701,333.16747994134556,white,110.0
378.62693333333334,270.14806254297594,white,0.0
449.3015098557578,269.64488860962274,white,0.0
367.8693067733334,371.4233843574459,red,100.0
361.78806471583,333.98999814251863,white,110.0
379.2543946666667,266.282467289383,white,0.0
433.4410906969041,274.1062508975091,white,0.0
368.4719206378667,370.52214355408535,red,100.0
361.2856367548467,334.8672865796683,white,110.0
379.8693067733334,262.5654045408619,white,0.0
417.89787992122757,278.54960653963775,white,0.0
369.06248222510936,369.7101481667921,red,100.0
380.4719206378667,258.99390364731124,white,0.0
402.66553336106455,282.9753156689238,white,0.0
369.64123258060715,368.9856132872447,red,100.0
381.06248222510936,255.56505337163162,white,0.0
387.7378337321048,287.3837312156242,white,30.0
370.20840792899503,368.3467897052882,red,100.0
381.64123258060715,252.27600070146553,white,0.0
373.1086880957242,291.7751990513906,white,30.0
370.76423977041514,367.79196319497083,red,100.0
382.20840792899503,249.1239496847028,white,0.0
358.7721253720712,296.1500581304416,white,0.0
371.3089549750068,367.31945381485986,red,100.0
382.76423977041514,246.10616028827533,white,0.0
344.72229390289124,300.5086406279116,white,0.0
371.8427758755066,366.9276152223511,red,100.0
383.3089549750068,243.21994727977642,white,0.0
330.95345906309495,304.8512720754322,white,0.0
372.3659203579965,366.61483400169254,red,100.0
383.8427758755066,240.46267913144746,white,0.0
317.46000092009456,309.1782714940024,white,0.0
372.87860195083664,366.37952900544707,red,100.0
384.3659203579965,237.83177694608509,white,0
304.2364119399542,313.48995152420116,white,0
373.38102991181995,366.2201507091266,red,0
384.87860195083664,235.32471340442999,white,0
291.2772947394167,317.78661855379596,white,0
385.38102991181995,232.93901173360794,white,0
278.5773598828898,322.06857284279886,white,0
266.1314237234936,326.33610864602167,white,0
363.3333333333333,376.73788726666663,red,100.0
363.3333333333333,376.8789040546666,red,100.0
363.3333333333333,377.08832110690656,red,100.0
363.3333333333333,377.3647704181017,red,100.0
363.3333333333333,377.70691134307305,red,100.0
363.3333333333333,378.1134300495449,red,100.0
363.3333333333333,378.58303898188734,red,100.0
363.3333333333333,379.11447633558294,red,100.0
363.3333333333333,379.7065055422046,red,100.0
363.3333333333333,380.3579147646938,red,100.0
363.3333333333333,381.06751640273325,red,100.0
363.3333333333333,381.8341466080119,red,100.0
363.3333333333333,382.65666480918503,red,100.0
363.3333333333333,383.5339532463346,red,100.0
363.3333333333333,384.4649165147412,red,100.0
481.3333333333333,260.73788726666663,white,10.0
481.3333333333333,260.87890405466663,white,10.0
481.3333333333333,261.0883211069066,white,10.0
481.3333333333333,261.36477041810184,white,10.0
481.3333333333333,261.7069113430731,white,10.0
481.3333333333333,262.113430049545,white,10.0
481.3333333333333,262.5830389818874,white,10.0
481.3333333333333,263.114476335583,white,10.0
481.3333333333333,263.7065055422047,white,10.0
481.3333333333333,264.35791476469393,white,10.0
481.3333333333333,265.0675164027334,white,10.0
481.3333333333333,265.8341466080121,white,10.0
481.3333333333333,266.65666480918514,white,10.0
481.3333333333333,267.5339532463348,white,10.0
481.3333333333333,268.46491651474145,white,10.0
370.66666666666663,327.4045539333333,white,110.0
370.66666666666663,327.5455707213333,white,110.0
370.66666666666663,327.7549877735733,white,110.0
370.66666666666663,328.0314370847685,white,110.0
370.66666666666663,328.3735780097398,white,110.0
376.66666666666663,282.07122059999995,white,30.0
370.66666666666663,328.7800967162117,white,110.0
376.66666666666663,282.21223738799995,white,30.0
370.66666666666663,324.62445721712163,white,110.0
376.66666666666663,282.42165444024,white,30.0
370.66666666666663,322.6943125565675,white,110.0
376.66666666666663,282.69810375143516,white,30.0
370.66666666666663,320.87399138922444,white,110.0
376.66666666666663,283.0402446764065,white,30.0
370.66666666666663,319.1612972452283,white,110.0
376.66666666666663,283.4467633828783,white,30.0
370.66666666666663,317.554077584112,white,110.0
376.66666666666663,283.91637231522077,white,30.0
482.66666666666663,259.4045539333333,white,10.0
364.66666666666663,378.07122059999995,red,100.0
370.66666666666663,316.0502229162181,white,0.0
376.66666666666663,284.4478096689163,white,30.0
482.66666666666663,259.5455707213333,white,10.0
364.66666666666663,378.21223738799995,red,100.0
370.66666666666663,314.647665941682,white,0.0
376.66666666666663,285.039838875538,white,30.0
482.66666666666663,259.7549877735733,white,10.0
364.66666666666663,378.4216544402399,red,100.0
370.66666666666663,313.3443807066367,white,0.0
376.66666666666663,285.69124809802724,white,30.0
482.66666666666663,260.0314370847685,white,10.0
364.66666666666663,378.69810375143504,red,100.0
370.66666666666663,312.13838177629225,white,0.0
376.66666666666663,286.40084973606673,white,30.0
482.66666666666663,260.3735780097398,white,10.0
364.66666666666663,379.04024467640636,red,100.0
370.66666666666663,311.0277234245547,white,0.0
376.66666666666663,287.1674799413454,white,30.0
482.66666666666663,260.7800967162117,white,10.0
364.66666666666663,379.4467633828782,red,100.0
370.66666666666663,310.01049883985195,white,0.0
376.66666666666663,287.9899981425185,white,30.0
482.66666666666663,261.2497056485541,white,10.0
364.66666666666663,379.91637231522066,red,100.0
370.66666666666663,309.0848393468432,white,0.0
376.66666666666663,288.86728657966813,white,30.0
482.66666666666663,261.7811430022497,white,10.0
364.66666666666663,380.4478096689163,red,100.0
370.66666666666663,308.24891364369466,white,0.0
376.66666666666663,289.79824984807476,white,30.0
482.66666666666663,262.3731722088713,white,10.0
364.66666666666663,381.03983887553795,red,100.0
369.3333333333333,346.488973622972,white,0.0
482.66666666666663,263.0245814313606,white,10.0
364.66666666666663,381.69124809802713,red,100.0
368.67999999999995,365.3327217068179,white,50.0
482.66666666666663,263.73418306940005,white,10.0
364.66666666666663,382.40084973606656,red,100.0
368.0397333333333,383.8708154289869,white,50.0
482.66666666666663,264.50081327467876,white,10.0
364.66666666666663,383.1674799413452,red,100.0
367.4122719999999,402.1093678767125,white,0.0
482.66666666666663,265.32333147585183,white,10.0
364.66666666666663,383.98999814251835,red,100.0
366.79735989333324,420.05436987548353,white,0.0
482.66666666666663,252.08122245748146,white,0.0
364.66666666666663,384.86728657966796,red,100.0
366.19474602879995,437.71169243427926,white,0.0
482.66666666666663,245.69870773248,white,0.0
364.66666666666663,385.79824984807453,red,100.0
365.60418444155727,455.087089141899,white,0
482.66666666666663,239.51506390197852,white,0
365.0254340860595,472.1861985153663,white,0
482.66666666666663,233.5263135480871,white,0
364.4582587376716,473.3333333333333,white,0
482.66666666666663,227.72855880127352,white,0
363.9024268962515,461.86030735213865,white,0
482.66666666666663,222.11797974939623,white,0
363.3577116916598,450.6879624905679,white,0
482.66666666666663,216.69083287855645,white,0
362.82389079116,439.81028512622856,white,0
482.66666666666663,211.4434495451335,white,0
362.3007463086701,429.221381909176,white,0
482.66666666666663,206.37223447837897,white,0
361.78806471583,418.91547735646446,white,0
482.66666666666663,201.47366431295956,white,0
652.6666666666666,430.07122059999995,white,0
361.2856367548467,408.88691149480724,white,0
482.66666666666663,196.74428615084855,white,0
652.6666666666666,430.21223738799995,white,0
482.66666666666663,192.18071615197974,white,0
652.6666666666666,430.4216544402399,white,0
482.66666666666663,187.7796381530883,white,0
654.0,428.3162328264267,white,0
482.66666666666663,183.53780231417468,white,0
654.6533333333333,427.39069492965825,white,0
482.66666666666663,179.45202379203934,white,0
655.2936,426.5548883908252,white,0
655.9210613333333,425.80701858276876,white,0
656.53597344,425.14532677087345,white,0
657.1385873045333,424.5680893952161,white,0
657.729148891776,424.07361736707185,white,0
658.3078992472738,423.6602553794904,white,0
658.8750745956617,423.3263812316607,white,0.0
371.3333333333333,326.73788726666663,white,110.0
659.4309064370818,423.0704051667876,white,0.0
371.3333333333333,326.87890405466663,white,110.0
482.0,258.73788726666663,white,10.0
659.9756216416735,422.8907692232119,white,0.0
371.3333333333333,327.0883211069066,white,110.0
482.0,258.87890405466663,white,10.0
660.5094425421732,422.78594659850773,white,0.0
371.3333333333333,327.36477041810184,white,110.0
482.0,259.0883211069066,white,10.0
661.0325870246631,422.7544410262976,white,0.0
371.3333333333333,327.7069113430731,white,110.0
482.0,259.36477041810184,white,10.0
661.5452686175033,422.7947861655317,white,0.0
371.3333333333333,328.113430049545,white,110.0
482.0,259.7069113430731,white,10.0
662.0476965784866,422.9055450019812,white,0.0
371.3333333333333,328.5830389818874,white,110.0
482.0,260.113430049545,white,10.0
371.3333333333333,329.114476335583,white,110.0
482.0,260.5830389818874,white,10.0
371.3333333333333,329.7065055422047,white,110.0
482.0,261.114476335583,white,10.0
371.3333333333333,330.35791476469393,white,110.0
482.0,261.7065055422047,white,10.0
371.3333333333333,331.0675164027334,white,110.0
482.0,262.35791476469393,white,10.0
371.3333333333333,331.8341466080121,white,110.0
482.0,263.0675164027334,white,10.0
371.3333333333333,332.65666480918514,white,110.0
482.0,263.8341466080121,white,10.0
371.3333333333333,333.5339532463348,white,110.0
482.0,264.65666480918514,white,10.0
371.3333333333333,334.46491651474145,white,110.0
482.0,265.5339532463348,white,10.0
482.0,266.46491651474145,white,10.0
371.3333333333333,326.07122059999995,white,110.0
371.3333333333333,326.21223738799995,white,110.0
371.3333333333333,326.42165444024,white,110.0
371.3333333333333,326.69810375143516,white,110.0
371.3333333333333,327.0402446764065,white,110.0
371.3333333333333,327.4467633828783,white,110.0
371.3333333333333,327.91637231522077,white,110.0
371.3333333333333,328.4478096689163,white,110.0
371.3333333333333,329.039838875538,white,110.0
371.3333333333333,329.69124809802724,white,110.0
371.3333333333333,330.40084973606673,white,110.0
371.3333333333333,331.1674799413454,white,110.0
371.3333333333333,331.9899981425185,white,110.0
371.3333333333333,332.86728657966813,white,110.0
371.3333333333333,333.79824984807476,white,110.0
364.66666666666663,378.73788726666663,red,100.0
364.66666666666663,378.8789040546666,red,100.0
364.66666666666663,379.08832110690656,red,100.0
364.66666666666663,379.3647704181017,red,100.0
364.66666666666663,379.70691134307305,red,100.0
364.66666666666663,380.1134300495449,red,100.0
364.66666666666663,380.58303898188734,red,100.0
364.66666666666663,381.11447633558294,red,100.0
364.66666666666663,381.7065055422046,red,100.0
